Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
31/12/2024,"350,000.00","364,500.00","366,500.00","350,000.00",1.40K,-3.71%
30/12/2024,"363,500.00","363,500.00","363,600.00","363,500.00",0.66K,-0.16%
27/12/2024,"364,100.00","370,000.00","370,000.00","363,800.00",0.99K,-0.93%
26/12/2024,"367,500.00","370,000.00","373,000.00","363,900.00",3.84K,0.38%
25/12/2024,"366,100.00","361,600.00","366,100.00","361,600.00",0.48K,0.77%
24/12/2024,"363,300.00","363,400.00","366,000.00","363,100.00",2.31K,0.08%
23/12/2024,"363,000.00","370,500.00","370,500.00","360,000.00",3.83K,-1.89%
20/12/2024,"370,000.00","371,000.00","378,900.00","370,000.00",4.67K,0.00%
19/12/2024,"370,000.00","371,500.00","371,500.00","370,000.00",0.76K,-0.80%
18/12/2024,"373,000.00","373,000.00","375,000.00","372,500.00",0.62K,-0.27%
17/12/2024,"374,000.00","375,000.00","381,000.00","366,000.00",0.74K,-0.80%
16/12/2024,"377,000.00","380,000.00","380,000.00","376,000.00",0.44K,-0.79%
13/12/2024,"380,000.00","382,000.00","382,000.00","380,000.00",1.95K,-1.04%
12/12/2024,"384,000.00","384,000.00","386,000.00","384,000.00",1.17K,0.26%
11/12/2024,"383,000.00","384,000.00","386,000.00","381,100.00",0.95K,0.52%
10/12/2024,"381,000.00","385,000.00","389,900.00","379,000.00",0.94K,-0.52%
9/12/2024,"383,000.00","385,400.00","385,400.00","383,000.00",1.39K,0.13%
6/12/2024,"382,500.00","385,000.00","392,000.00","382,000.00",2.84K,-1.42%
5/12/2024,"388,000.00","389,000.00","390,000.00","380,000.00",2.77K,2.11%
4/12/2024,"380,000.00","371,800.00","380,000.00","371,800.00",2.14K,2.37%
3/12/2024,"371,200.00","376,500.00","376,500.00","371,000.00",0.86K,0.32%
2/12/2024,"370,000.00","365,000.00","394,900.00","360,100.00",2.44K,1.37%
29/11/2024,"365,000.00","369,900.00","375,000.00","362,200.00",2.32K,-1.32%
28/11/2024,"369,900.00","370,000.00","370,000.00","369,900.00",0.57K,2.15%
27/11/2024,"362,100.00","362,500.00","362,500.00","362,100.00",0.44K,-1.23%
26/11/2024,"366,600.00","370,000.00","375,000.00","366,600.00",2.62K,-0.65%
25/11/2024,"369,000.00","365,000.00","369,000.00","365,000.00",1.01K,1.10%
22/11/2024,"365,000.00","360,000.00","365,000.00","360,000.00",0.75K,0.00%
21/11/2024,"365,000.00","357,000.00","372,000.00","357,000.00",1.00K,1.39%
20/11/2024,"360,000.00","359,900.00","365,000.00","340,000.00",8.48K,0.00%
19/11/2024,"360,000.00","366,000.00","380,000.00","356,000.00",2.57K,0.00%
18/11/2024,"360,000.00","368,100.00","369,000.00","360,000.00",4.31K,-2.20%
15/11/2024,"368,100.00","370,000.00","377,900.00","368,100.00",3.17K,-3.13%
14/11/2024,"380,000.00","380,000.00","380,000.00","375,000.00",4.85K,-0.55%
13/11/2024,"382,100.00","387,000.00","387,000.00","381,200.00",2.08K,-1.52%
12/11/2024,"388,000.00","390,500.00","392,000.00","388,000.00",1.52K,0.52%
11/11/2024,"386,000.00","393,900.00","394,000.00","386,000.00",2.15K,-1.03%
8/11/2024,"390,000.00","390,000.00","394,900.00","388,000.00",1.76K,0.00%
7/11/2024,"390,000.00","397,300.00","397,300.00","390,000.00",1.56K,-1.81%
6/11/2024,"397,200.00","399,500.00","399,500.00","397,200.00",3.91K,0.56%
5/11/2024,"395,000.00","399,700.00","400,000.00","395,000.00",3.01K,-1.25%
4/11/2024,"400,000.00","400,000.00","400,000.00","398,100.00",2.28K,-0.37%
1/11/2024,"401,500.00","407,000.00","408,000.00","401,500.00",1.29K,-0.62%
31/10/2024,"404,000.00","400,000.00","404,900.00","399,000.00",4.59K,1.00%
30/10/2024,"400,000.00","404,100.00","405,000.00","400,000.00",3.08K,-0.50%
29/10/2024,"402,000.00","399,900.00","409,500.00","399,900.00",0.88K,-3.13%
28/10/2024,"415,000.00","415,000.00","415,000.00","415,000.00",0.16K,1.97%
25/10/2024,"407,000.00","405,000.00","410,000.00","400,000.00",1.87K,-0.73%
24/10/2024,"410,000.00","414,500.00","414,500.00","407,000.00",2.92K,0.81%
23/10/2024,"406,700.00","412,000.00","412,000.00","406,600.00",1.07K,0.22%
22/10/2024,"405,800.00","408,200.00","408,200.00","405,800.00",2.47K,-1.02%
21/10/2024,"410,000.00","411,000.00","411,000.00","408,200.00",3.83K,0.56%
18/10/2024,"407,700.00","410,100.00","413,000.00","407,700.00",2.07K,-0.56%
17/10/2024,"410,000.00","405,200.00","410,000.00","405,200.00",2.52K,1.99%
16/10/2024,"402,000.00","415,000.00","415,000.00","402,000.00",0.64K,-2.92%
15/10/2024,"414,100.00","415,600.00","415,600.00","410,500.00",1.84K,0.02%
14/10/2024,"414,000.00","430,000.00","430,000.00","413,500.00",1.55K,-1.43%
11/10/2024,"420,000.00","422,000.00","422,000.00","420,000.00",1.44K,0.00%
10/10/2024,"420,000.00","419,000.00","430,800.00","415,000.00",1.05K,1.94%
9/10/2024,"412,000.00","415,000.00","431,000.00","408,100.00",3.47K,1.48%
8/10/2024,"406,000.00","405,000.00","415,500.00","405,000.00",1.06K,0.25%
7/10/2024,"405,000.00","400,000.00","409,000.00","400,000.00",1.75K,1.20%
