Date,Close,Open,High,Low,Volume,% Thay đổi
2023-02-02,386400.0,386400.0,386400.0,386400.0,100.0,15.00%
2023-02-03,444300.0,444300.0,444300.0,444300.0,100.0,14.98%
2023-02-06,510900.0,510900.0,510900.0,510900.0,100.0,14.99%
2023-02-07,587500.0,587500.0,587500.0,587500.0,100.0,14.99%
2023-02-08,675600.0,675600.0,675600.0,675600.0,100.0,15.00%
2023-02-09,776900.0,776900.0,776900.0,776900.0,100.0,14.99%
2023-02-10,893400.0,893400.0,893400.0,893400.0,300.0,15.00%
2023-02-13,1027400.0,1027400.0,1027400.0,1027400.0,6240.0,15.00%
2023-02-14,1181500.0,1181500.0,1181500.0,1181500.0,5610.0,15.00%
2023-02-15,1358700.0,1358700.0,1358700.0,1358700.0,5580.0,15.00%
2023-02-16,1300000.0,1562500.0,1562500.0,1296200.0,11230.0,-4.32%
2023-02-17,1219500.0,1250000.0,1250000.0,1219500.0,1180.0,-6.19%
2023-02-20,1046400.0,1046400.0,1046500.0,1046400.0,6060.0,-14.19%
2023-02-21,913000.0,900000.0,990000.0,889500.0,7260.0,-12.75%
2023-02-22,950000.0,930000.0,1065000.0,930000.0,2700.0,4.05%
2023-02-23,970000.0,989900.0,989900.0,930000.0,1340.0,2.11%
2023-02-24,890000.0,920000.0,930000.0,890000.0,2029.9999999999998,-8.25%
2023-02-27,888000.0,888000.0,888000.0,880000.0,580.0,-0.22%
2023-02-28,924000.0,871000.0,924000.0,871000.0,720.0,4.05%
2023-03-01,900000.0,898000.0,900000.0,898000.0,720.0,-2.60%
2023-03-02,900000.0,919000.0,929000.0,900000.0,780.0,0.00%
2023-03-03,900000.0,919900.0,920000.0,900000.0,710.0,0.00%
2023-03-06,925000.0,925000.0,925000.0,925000.0,120.0,2.78%
2023-03-07,888000.0,918000.0,918000.0,888000.0,460.0,-4.00%
2023-03-08,908000.0,908000.0,908000.0,908000.0,150.0,2.25%
2023-03-09,900000.0,900000.0,900000.0,900000.0,350.0,-0.88%
2023-03-10,900000.0,900000.0,900000.0,900000.0,110.0,0.00%
2023-03-13,900000.0,888000.0,900000.0,888000.0,1510.0,0.00%
2023-03-14,888000.0,895000.0,895000.0,888000.0,840.0,-1.33%
2023-03-15,895000.0,888000.0,895000.0,888000.0,220.0,0.79%
2023-03-16,890000.0,890000.0,890000.0,890000.0,310.0,-0.56%
2023-03-17,880000.0,880000.0,880000.0,880000.0,210.0,-1.12%
2023-03-20,885000.0,890000.0,890000.0,885000.0,350.0,0.57%
